Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s),temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),precipitation (mm),surface_pressure (hPa),cloud_cover (%),wind_speed_10m (km/h),wind_direction_10m (°),shortwave_radiation (W/m²)
2020-01-01 00:00:00,NA,92.63,0.23,9.41,8.09,NA,9.68,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.8,94,17.8,0.00,915.5,96,18.1,103,0.0
2020-01-01 01:00:00,NA,89.41,NA,NA,NA,NA,9.06,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.8,92,17.5,0.00,915.2,98,16.9,102,0.0
2020-01-01 02:00:00,NA,70.63,NA,NA,0.00,NA,7.82,1.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.3,94,17.4,0.00,914.5,93,15.7,101,0.0
2020-01-01 03:00:00,NA,66.60,NA,NA,NA,NA,8.59,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.2,95,17.4,0.00,914.1,98,14.2,99,0.0
2020-01-01 04:00:00,NA,65.18,NA,NA,NA,NA,8.01,1.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1,95,17.4,0.00,914.3,100,14.2,99,0.0
2020-01-01 05:00:00,NA,74.91,NA,NA,NA,NA,10.12,1.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.2,97,17.8,0.00,914.5,31,14.2,99,0.0
2020-01-01 06:00:00,NA,67.94,NA,NA,NA,NA,8.54,1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.4,97,17.8,0.00,915.0,66,13.4,98,0.0
2020-01-01 07:00:00,NA,70.62,NA,NA,NA,NA,9.73,1.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.2,92,17.8,0.00,916.0,58,16.4,99,35.0
2020-01-01 08:00:00,NA,76.11,NA,NA,NA,NA,10.24,1.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.3,78,17.4,0.00,917.6,65,18.5,103,195.0
2020-01-01 09:00:00,NA,86.72,NA,NA,NA,NA,12.24,1.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.2,67,16.7,0.00,918.5,84,18.2,108,345.0
