Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s),temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),precipitation (mm),surface_pressure (hPa),cloud_cover (%),wind_speed_10m (km/h),wind_direction_10m (°),shortwave_radiation (W/m²)
2020-01-01 00:00:00,76.04,126.73,37.71,30.41,41.36,NA,79.07,1.82,47.92,4.16,8.84,NA,NA,NA,NA,NA,NA,0.28,NA,1.46,5.86,NA,NA,NA,15.9,81,12.6,0.00,947.9,0,3.6,217,0.0
2020-01-01 01:00:00,68.84,114.73,36.99,29.83,40.57,NA,77.56,1.77,48.16,4.05,8.61,NA,NA,NA,NA,NA,NA,0.28,NA,1.42,5.69,NA,NA,NA,15.9,82,12.8,0.00,947.3,0,3.1,234,0.0
2020-01-01 02:00:00,61.56,102.60,37.32,30.10,40.94,NA,78.26,1.75,47.12,4.01,8.51,NA,NA,NA,NA,NA,NA,0.28,NA,1.40,5.61,NA,NA,NA,15.3,85,12.7,0.00,946.6,0,2.1,239,0.0
2020-01-01 03:00:00,50.47,84.12,37.06,29.88,40.64,NA,77.70,1.75,47.71,4.01,8.52,NA,NA,NA,NA,NA,NA,0.28,NA,1.40,5.63,NA,NA,NA,14.7,88,12.7,0.00,946.0,0,1.5,256,0.0
2020-01-01 04:00:00,54.67,91.12,37.16,29.97,40.76,NA,77.91,1.78,48.67,4.07,8.65,NA,NA,NA,NA,NA,NA,0.28,NA,1.42,5.70,NA,NA,NA,14.2,91,12.7,0.00,946.1,0,0.8,243,0.0
2020-01-01 05:00:00,58.65,97.75,37.97,30.62,41.64,NA,79.61,1.74,48.11,3.97,8.43,NA,NA,NA,NA,NA,NA,0.28,NA,1.39,5.57,NA,NA,NA,13.2,100,13.2,0.00,945.8,0,1.8,169,0.0
2020-01-01 06:00:00,49.75,82.92,37.76,30.45,41.42,NA,79.18,1.73,48.89,3.96,8.42,NA,NA,NA,NA,NA,NA,0.28,0.70,1.39,5.53,NA,NA,NA,12.9,99,12.8,0.00,946.3,100,0.5,315,0.0
2020-01-01 07:00:00,47.02,78.37,37.20,30.00,40.80,NA,78.01,1.78,48.09,4.07,8.65,NA,NA,NA,NA,NA,NA,0.28,14.08,1.43,5.69,NA,NA,NA,11.8,100,11.8,0.00,947.6,100,3.3,96,4.0
2020-01-01 08:00:00,60.31,100.52,37.38,30.15,41.00,NA,78.38,1.82,48.33,4.16,8.85,NA,NA,NA,NA,NA,NA,0.28,104.07,1.46,5.82,NA,NA,NA,13.7,93,12.6,0.00,949.2,100,5.7,72,96.0
2020-01-01 09:00:00,80.71,134.52,37.55,30.28,41.18,NA,78.73,1.87,47.71,4.26,9.06,NA,NA,NA,NA,NA,NA,0.28,224.71,1.49,5.93,NA,NA,NA,18.4,74,13.6,0.00,951.1,0,5.5,79,322.0
2020-01-01 10:00:00,100.76,167.93,36.89,29.75,40.46,NA,77.35,1.88,47.36,4.31,9.15,NA,NA,NA,NA,NA,NA,0.28,314.17,1.51,6.06,NA,NA,NA,22.5,56,13.3,0.00,951.9,0,1.6,153,515.0
2020-01-01 11:00:00,93.93,156.56,33.36,27.86,36.41,NA,69.77,1.68,51.54,4.43,9.42,NA,NA,NA,NA,NA,NA,0.28,349.94,1.55,6.20,NA,NA,NA,25.2,47,13.1,0.00,951.3,0,3.3,186,660.0
2020-01-01 12:00:00,105.49,175.81,33.56,28.07,36.61,NA,70.18,1.62,52.66,4.32,9.18,NA,NA,NA,NA,NA,NA,0.28,NA,1.51,6.06,NA,NA,NA,26.9,41,12.4,0.00,950.3,0,6.2,216,740.0
2020-01-01 13:00:00,95.05,158.41,33.65,28.14,36.71,NA,70.35,1.59,51.91,4.25,9.03,NA,NA,NA,NA,NA,NA,0.28,349.32,1.49,5.94,NA,NA,NA,27.8,37,11.8,0.00,949.2,0,9.9,226,748.0
